Basin,Month_of_Max,Max_Value
1,Ganges,May,2.36291128609678
2,Mekong,Jun,0.0112129146788937
3,Irawaddy,May,0.000126416132528789
4,Luni_ext,Aug,0.154569546753147
5,Indus,Jun,5.45190289703947
6,Amu_Darya,Aug,0.536458486579852
7,Brahmaputra,Mar,0.205756134705403
8,Syr_Darya,Aug,0.260470636502796
9,Salween,May,0.00035726419385089
10,Tarim,Jul,0.820940501322404
11,Ili,Jun,0.616086946979158
12,Inner_Tibetan_Plateau,Jun,0.00680342174169842
13,Yangtze,Jul,0.55329676112979
14,Inner_Tibetan_Plateau_extended,Jun,0.256723874488386
15,Yellow,Jul,0.985636039066881
16,all_basins,Jun,10.9292106612026
