Basin,Month_of_Max,Max_Value
1,Ganges,Jun,17.0110111273571
2,Mekong,Jun,1.1155371041385
3,Irawaddy,May,0.249878512173437
4,Luni_ext,Jul,20.5366982023865
5,Indus,Jul,41.1662081025964
6,Amu_Darya,Aug,42.0594378744781
7,Brahmaputra,Apr,5.15554434703679
8,Syr_Darya,Sep,32.2714500400454
9,Salween,May,1.88120310210099
10,Tarim,May,43.2824986065609
11,Ili,May,28.4079458990075
12,Inner_Tibetan_Plateau,May,62.0625274390621
13,Yangtze,May,6.81184246316258
14,Inner_Tibetan_Plateau_extended,Jun,38.0734337456968
15,Yellow,Jul,18.6135307173546
16,all_basins,Jun,18.1088824230424
