Basin,Month_of_Max,Max_Value
1,Ganges,May,4.89757672216922
2,Mekong,Jul,0.0059917643946969
3,Irawaddy,Mar,5.17230544041203e-11
4,Luni_ext,May,0.88126761067016
5,Indus,Jun,0.3545915926429
6,Amu_Darya,Aug,0.111138258518554
7,Brahmaputra,Mar,0.076411251854913
8,Syr_Darya,Jan,0.00344665236500394
9,Salween,Jun,6.17895100600438e-21
10,Tarim,May,0.00161594014752438
11,Ili,Jun,1.11477001198426
12,Inner_Tibetan_Plateau,Jun,1.00089079238145e-20
13,Yangtze,Jul,0.255806244352454
14,Inner_Tibetan_Plateau_extended,Jun,0.107552194502537
15,Yellow,Jul,0.517326775763812
16,all_basins,Jun,7.44193980166329
