"Jan_irrigationGrwt","Jan_IrrGrwt_km3_pu","Jan_IrrGrwt_percent_pu","Feb_irrigationGrwt","Feb_IrrGrwt_km3_pu","Feb_IrrGrwt_percent_pu","Mar_irrigationGrwt","Mar_IrrGrwt_km3_pu","Mar_IrrGrwt_percent_pu","Apr_irrigationGrwt","Apr_IrrGrwt_km3_pu","Apr_IrrGrwt_percent_pu","May_irrigationGrwt","May_IrrGrwt_km3_pu","May_IrrGrwt_percent_pu","Jun_irrigationGrwt","Jun_IrrGrwt_km3_pu","Jun_IrrGrwt_percent_pu","Jul_irrigationGrwt","Jul_IrrGrwt_km3_pu","Jul_IrrGrwt_percent_pu","Aug_irrigationGrwt","Aug_IrrGrwt_km3_pu","Aug_IrrGrwt_percent_pu","Sep_irrigationGrwt","Sep_IrrGrwt_km3_pu","Sep_IrrGrwt_percent_pu","Oct_irrigationGrwt","Oct_IrrGrwt_km3_pu","Oct_IrrGrwt_percent_pu","Nov_irrigationGrwt","Nov_IrrGrwt_km3_pu","Nov_IrrGrwt_percent_pu","Dec_irrigationGrwt","Dec_IrrGrwt_km3_pu","Dec_IrrGrwt_percent_pu","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_pu_stdev","Jan_IrrGrwt_percent_pu_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_pu_stdev","Feb_IrrGrwt_percent_pu_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_pu_stdev","Mar_IrrGrwt_percent_pu_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_pu_stdev","Apr_IrrGrwt_percent_pu_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_pu_stdev","May_IrrGrwt_percent_pu_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_pu_stdev","Jun_IrrGrwt_percent_pu_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_pu_stdev","Jul_IrrGrwt_percent_pu_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_pu_stdev","Aug_IrrGrwt_percent_pu_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_pu_stdev","Sep_IrrGrwt_percent_pu_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_pu_stdev","Oct_IrrGrwt_percent_pu_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_pu_stdev","Nov_IrrGrwt_percent_pu_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_pu_stdev","Dec_IrrGrwt_percent_pu_stdev"
"Ganges",11.4945311818619,0.719691161896109,5.8359201462,14.5041292852685,2.43376408910952,16.6882870951634,11.7688802732126,2.58874299543581,21.9917508177837,14.5353705174213,3.4404176461897,23.1765125867218,15.8758510587337,4.89757672216922,30.6755636363732,12.9081781369603,4.78547806755783,34.9082569559924,6.67384270460933,1.73578818494235,25.7175789984559,9.59556701862342,1.12292125899826,11.8569159368858,15.7557998988406,1.02866526701755,6.44677331565085,8.89930142365095,0.403988195468627,4.50998053515248,10.4269315789153,0.316944725027351,3.14743695045838,NA,NA,NA,1.30425487124918,0.69306470020664,5.06404062292489,1.01221003545978,2.04322455668328,14.1255677491277,0.972493439384974,1.65855741475209,14.191005390816,1.10638918780679,1.88102993737517,11.4011848304077,1.23863488250749,1.83065461860905,10.5504682270844,3.88058927453736,3.03286596199639,11.4018279498919,1.48251146984274,0.877264100819162,10.979888288477,1.16547601766123,0.428482953472365,4.6306184551021,2.77602736607206,0.369894210128943,1.52635663820269,2.62455919201018,0.22858771083382,1.93569041778045,1.44311904075839,0.180405776613495,1.87356956705217,NA,NA,NA
"Mekong",1.97023839381419,0.00159768294530737,0.0738740886981398,1.55770415637228,0.00247176932699923,0.147337856098344,0.625251187289307,0.000154321156236469,0.0230026988128724,0.436766652508549,2.1959863304855e-05,0.00717147134303799,1.21247569640308,9.30710515771489e-06,0.000882598931886388,1.07026796512672,0.000751416682688341,0.0517415099119056,1.02413082803914,0.0059917643946969,0.457807110582527,0.616262287324115,0.000585840563245215,0.0831100181318474,0.452821895924595,5.56019295560087e-05,0.00776524505549151,0.658161263775166,4.23774084930852e-07,6.99387343320709e-05,1.70352700847555,2.62134741679039e-06,0.000167699956479385,NA,NA,NA,0.192529548877344,0.00257253781853164,0.119498277659456,0.139253059055264,0.00413991908297872,0.246739183569629,0.0590927048539004,0.000263287326361856,0.0383949516957366,0.128009788243436,3.33233333260435e-05,0.0114548899506126,0.235006563389713,2.03203327542321e-05,0.00190689771269223,0.300751224426174,0.00183737956590567,0.126436381813364,0.270127651689704,0.0146745594419987,1.12120972671091,0.21420358608199,0.00143480866731719,0.203543311542256,0.161876197684869,0.000136150028430272,0.0190105772324066,0.0715759279829397,1.0270380375291e-06,0.000169714673847427,0.474220799160016,5.94365447714982e-06,0.000385494443855335,NA,NA,NA
"Irawaddy",0.45600096021455,1.01395674377004e-14,2.19079780467625e-12,0.711827778839116,1.78060249538094e-11,2.15882226787582e-09,0.362962422579343,5.17230544041203e-11,1.31122558825482e-08,0.132826917221436,1.78778560779974e-12,1.39200543807813e-09,0.0488114192839704,4.7174506661394e-14,9.7551077870173e-11,0.0742665417006139,8.50151209313272e-16,8.86058167679057e-13,0.160998518963967,1.36823140906153e-14,5.06834945110086e-12,0.0102887499263504,3.52621522552481e-16,2.62236851630766e-12,0.00573326661162277,5.36973448415955e-19,1.01145221108613e-14,0.000136463047639257,6.7181344853644e-21,NA,0.383214535075926,1.56575915332374e-16,3.60596477973892e-14,NA,NA,NA,0.187273777699799,1.77914665442946e-14,4.07051551772833e-12,0.0928529515687706,2.76814451869408e-11,3.30663739051114e-09,0.0480428647373546,9.60024696158907e-11,2.40611131351155e-08,0.0326482788916725,3.40064296573486e-12,2.7196993511457e-09,0.0261828238187596,1.03080470466479e-13,2.08451151046386e-10,0.0528287660257814,2.08006598909951e-15,2.16851658955753e-12,0.0859020103256763,3.26036864466445e-14,1.14724236382075e-11,0.00452733194289129,8.47253799517721e-16,6.30182915415727e-12,0.00199678217978686,5.6120443781116e-19,1.02005886853909e-14,0.000160649201557186,1.12591155277386e-20,NA,0.098978869219538,2.50912543317641e-16,5.02513222366314e-14,NA,NA,NA
"Luni_ext",0.368803404684473,0.132337809405971,28.2579410383663,1.3207544757118,0.449301535728281,34.5891786030987,1.6899860882139,0.491466427879819,28.185493440199,1.85879334506101,0.532903602748792,28.4266590450093,1.89478475551992,0.88126761067016,46.1502804291633,1.07777082394991,0.478630203826545,43.6238657072778,0.651168811024429,0.162910135967594,21.5060418466182,1.48964552942558,0.291837402468638,19.6270156850971,1.71275148152878,0.268155317101147,15.4148393184,0.714677423789048,0.115000426818596,16.5322553760222,0.665964915299191,0.178939560055789,25.6292108229826,NA,NA,NA,0.208307579506977,0.139512493390164,17.0045677243985,0.105850891876535,0.159644158006695,13.717938942043,0.285824837761723,0.219872121402425,10.0108678707599,0.246264469162139,0.144385832480593,5.86054978334802,0.217262735565636,0.206709579942354,6.91513232044758,0.255104996239849,0.166537751492529,5.2190628808776,0.213525011176298,0.173433541214021,14.6646488763863,0.135104830667732,0.126348247934847,8.07021541311794,0.300640377514445,0.162741378570783,7.84282385529268,0.0980667450829606,0.0801606934772237,11.46240366673,0.140103273871735,0.121933167478364,14.3644094919411,NA,NA,NA
"Indus",4.02250186838375,0.0957299985124922,2.29331146192465,4.3529492207545,0.109780583618227,2.51945247964083,7.13747761123602,0.137439491291187,1.95236594405429,9.66832080811648,0.124990438728878,1.28148012054075,7.98083439818983,0.132893279402296,1.61497031712769,14.5802431800003,0.3545915926429,2.38959763787988,12.0311674387232,0.218539313806052,1.76352300423813,18.6004476162291,0.162259473576095,0.872958895697954,19.2330876265887,0.151961915983078,0.788593535874939,9.3872217024167,0.0788814899730468,0.840960196542806,2.13261838355929,0.058716835471788,2.64996928661771,NA,NA,NA,0.890318543042328,0.0483491577304182,0.744198285588879,0.494216817895778,0.0304010910255041,0.62758026570996,0.930655868738871,0.0286540380373016,0.452690584056304,2.00682047261266,0.0376418780037166,0.203878704532223,0.890682087949967,0.0704852536900488,0.687013185309993,1.45535532757722,0.196077620370466,1.18375455824478,1.67175808331288,0.113983997418122,0.819953131587356,1.21150744201839,0.060269482909298,0.30966033327136,1.6809541839928,0.0375309464747326,0.167852081049591,0.465415196271728,0.0212565148549295,0.219723724079872,0.280040036966905,0.0285574468291203,0.993287036504603,NA,NA,NA
"Amu_Darya",0.0257071805003495,0.00217786278341531,8.45797397119084,0.0108765843235518,0.00144942992868487,12.3391620951047,0.0115761159405802,0.000101106018053547,0.807953476556694,0.0560198669262975,0.000191233453847952,0.444383959432278,0.124776551122517,0.00188517720249239,1.5551524022212,0.543585840762638,0.0160540136778838,3.00148382628598,0.75975009774736,0.0428854934445313,5.63636040870546,1.27227293352692,0.111138258518554,8.74318195358283,0.822162131550432,0.0838834332795617,10.0839296517922,0.617925362074169,0.0594079094462772,9.59380162480683,0.108566187984969,0.0103316426485323,11.3061914779974,NA,NA,NA,0.00364584938476633,0.000652748649589661,2.32921547512417,0.00683854065453941,0.00152822734886607,7.99136468044568,0.0074838310221674,0.000106936676148359,0.547278515572446,0.0376910405085356,0.000132892095600802,0.390206899362511,0.0371787066535868,0.00128779323540342,0.902489613857024,0.0449507428688291,0.0068162657393041,1.38140750398009,0.0831134167599806,0.015895136200194,1.84609747184176,0.0925570126770954,0.0236701225563948,1.75606023707053,0.0693203772093567,0.0269962112958427,2.65799442208829,0.0640337560483295,0.0167799376684802,2.64382797702691,0.0447964948550448,0.0038564740523689,6.57884648853892,NA,NA,NA
"Brahmaputra",4.04118266356443,0.00313301487011795,0.0754023734352349,3.89443358787613,0.0225339637705254,0.586243360550871,4.42782012685677,0.076411251854913,1.7039893773147,1.62180198198076,0.0231653436078658,1.43645973357036,2.98093972623915,0.00684428842498651,0.23296120935667,1.96107793656039,0.00550881725582946,0.266046396594152,2.39575790439304,0.00400465459543414,0.190791719631624,0.806745129224398,0.000421927669326394,0.0300423619016959,0.959505646657547,0.000106731575033157,0.0085079743874574,1.59998009737079,0.000140306338243467,0.00757407411850175,1.14679895112557,0.000175381825837673,0.0159723611378392,NA,NA,NA,0.315755896148725,0.00277674305314041,0.0651501978243145,0.181279024071151,0.0109606002444079,0.291427490299662,0.202182126552369,0.0335584854117813,0.663906673107661,0.0727686436390623,0.00670526224426727,0.438179327292795,0.295907615831175,0.00270879001647798,0.103034051551913,1.12869837042491,0.00550018849899158,0.219482006075604,1.33632762679408,0.0030235287164082,0.178233708202377,0.614581505154924,0.000775893882242068,0.0367634462780883,0.614207540469993,0.000157213052603107,0.00671223625033337,0.468327575420975,0.000181184319020457,0.007432366603524,0.225553913087637,0.000139077124874432,0.013395345978929,NA,NA,NA
"Syr_Darya",0.0132560281017321,0.00344665236500394,34.9088004284964,0.0021973639304349,9.1961853433708e-07,0.0311254002406586,0.000932928052045923,1.07110744423252e-06,NA,0.00414536536983512,1.13309182631934e-06,0.029063921635326,0.0237854014181309,4.64195114609146e-06,0.017311394835505,0.237899425591914,0.000556557233431567,0.27392494816496,0.640249081304587,0.000596257151021264,0.0989684027957187,0.842590474674518,0.000651563974049603,0.0763781823567079,0.554818633450578,0.000448022421111564,0.0756704291909321,0.37707094997022,4.5596717711171e-05,0.0124808005929049,0.0269742475691276,4.30477415435746e-05,0.0877074219020913,NA,NA,NA,0.00921248676550905,0.000425148330571513,16.8606179711782,0.001655710369675,1.19283795445069e-06,0.022049152971527,0.00087377994935277,9.98255715555538e-07,NA,0.00618765637068878,1.37680041069479e-06,0.0182986418904684,0.0176049667260632,4.34389729448116e-06,0.00838437725384845,0.0559025483776231,0.000542184433270052,0.332689946972969,0.170156751868938,0.000269950724919451,0.0527936792402393,0.0859187277505726,0.000267314121197683,0.0278366003022983,0.0686525835780111,0.000341409342981617,0.0559568447756602,0.0518757083319907,2.43631772490208e-05,0.00784757728080413,0.0329428702490901,0.000100291010397656,0.196385527795863,NA,NA,NA
"Salween",0.028318722707894,6.65769405570107e-23,2.59778393480687e-19,0.0380006822657168,3.87018568272203e-23,8.16860859489815e-20,0.040429493171431,3.64011982177362e-23,7.59049749289421e-20,0.0250073577457646,4.4226569069586e-23,1.56764813953774e-19,0.02090244805284,4.59022392248981e-24,2.57838836415762e-20,0.0406913013870867,6.17895100600438e-21,9.00076248288542e-18,0.00349517214432993,3.47485347654367e-22,5.54081852905125e-18,0.00035133365580009,1.77170479336774e-24,2.34952703422144e-19,0.00029857029392133,1.18736689877123e-42,2.88788022982828e-37,2.34835030710201e-05,7.00649232162409e-44,NA,0.0448574524161563,3.24404068867865e-23,6.34944208751164e-20,NA,NA,NA,0.00864973855751725,7.32570819353479e-23,3.29762452106555e-19,0.0162830893987588,4.93706368057846e-23,9.02615166229907e-20,0.0114022657520744,5.58212667016304e-23,9.82264201394705e-20,0.00645392406649333,8.39167982194389e-23,2.98128037267755e-19,0.00652643110597041,7.49053895468156e-24,4.45479517164192e-20,0.0229091551978406,1.05370274071902e-20,1.42343232322925e-17,0.00251350778466261,6.27736972648934e-22,1.0080487252982e-17,0.000289948744954114,4.32787869828915e-24,5.73378137448041e-19,0.000151980774197199,1.42432808592924e-42,3.4452601470247e-37,3.08395113016784e-05,8.68352898463367e-44,NA,0.00790803498158523,5.38802612015341e-23,9.47958388349717e-20,NA,NA,NA
"Tarim",0.0183485166186175,6.77015000055972e-05,0.386890539059504,0.0167212183801424,6.75810125767296e-05,0.378237810616863,0.0151372633436482,0.000311224847618972,2.08865607330288,0.0131563568047113,3.15862507256835e-05,0.384537930604498,0.972652335887659,0.00161594014752438,0.163451318839378,1.63438188272355,0.00141432005323345,0.0858179990714192,2.03998423236016,0.000142982602434379,0.00705603039969773,1.74077510936328,2.48343819823643e-05,0.00141974342135172,0.833727649909219,6.72266811376527e-06,0.000809340940303896,0.0728644538764032,1.27185851189747e-05,0.0164326435666457,0.0113554987887608,4.57405168035982e-08,0.00049271865978341,NA,NA,NA,0.00300009764169939,0.000157472912703029,0.894372217973963,0.00314811084214038,6.07213042607607e-05,0.323892587385752,0.00132682439148997,0.000141726293151127,0.962280735913851,0.00911536723115389,2.4775073123033e-05,0.436976159403279,0.0466240720002765,0.00107810857685996,0.106916524630032,0.0558626540119865,0.0013972502021388,0.0852447740830329,0.0370795675837382,0.000134254013837497,0.00671687943836697,0.0785723716234919,2.07643407253885e-05,0.0011939097762587,0.0269793296137227,5.58617546488887e-06,0.000674398732977542,0.0240291084605465,8.74880834064613e-06,0.00798755691762642,0.00647246786566548,3.75594552724825e-08,0.000443875660186434,NA,NA,NA
