"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",0.0226700423954931,0.0121876741806273,0.0127630246708885,0.0100655595508078,0.00513881013495854,0.0834913546187057,0.147051009667922,0.137130129050976,0.143978604082617,0.139741230477902,0.0649984117305221,0.0383613539658885,0.0250271903643979,0.013156239270136,0.0135521254831633,0.010428531250035,0.00616570484529543,0.0772995142342106,0.107718224201295,0.0825846145317874,0.0615248152644258,0.0596258810922967,0.0327089768284159,0.0190994557727785,0.0125777458907679,0.00814409383903455,0.00780982207496897,0.00633633984235416,0.00443319784787798,0.0587873242043081,0.0972058761569224,0.0803494946150173,0.0810348407856939,0.0726501549741948,0.0375347105296413,0.0227799758491083,0.0152124704384381,0.00957351637057286,0.00985436754700824,0.00804903195366561,0.00619753388058217,0.084487035294408,0.098530631215206,0.0705181945669136,0.0695232489752437,0.0465427513999553,0.0237135179110655,0.0123159637162523,0.00772904429987496,0.0043704218132964,0.0037187592256915,0.00293772581910319,0.00385556931787612,0.0740784759174386,0.103908233374925,0.0747526459397242,0.098637430449262,0.11004678005083,0.0570598967287388,0.0343531595065026,0.0220848864621484,0.0120830921307776,0.0127920439545429,0.00994966956785722,0.00600288719288013,0.0761796495030431,0.14098004551832,0.113417022801521,0.0858329426768621,0.0872838476477228,0.0485697969484556,0.0283390893473171
"Mekong",0.000152039093426477,0.000101566458085931,6.30799899415197e-05,3.40892617872907e-05,2.18430662605722e-05,1.97939686508022e-05,3.47369726850628e-05,8.54759954956032e-05,0.000135526937465196,0.0001454498463412,0.000200502071860532,0.000163090709825545,8.91659210484371e-05,6.12632677918829e-05,4.04323943775899e-05,2.20855677947082e-05,1.49021007599351e-05,3.87400506669667e-05,4.62924238951116e-05,8.12126440000979e-05,0.00012220156917722,0.000125085006968877,0.000167469859876754,0.000144068844774387,8.16522713436365e-05,5.62923350314281e-05,3.70885196436764e-05,2.01516516558294e-05,1.42402703408616e-05,4.06560657259076e-05,5.27281311928985e-05,8.48623570384188e-05,0.000124445067110171,0.000125015193998163,0.000151141940364316,0.000116622955714422,6.48588134044844e-05,4.43072080114463e-05,2.84085416625312e-05,1.5445238495358e-05,1.02598967888657e-05,1.11614169547605e-05,2.50623760811441e-05,5.9182563337443e-05,9.32824897370213e-05,9.30301898635951e-05,0.000115228301522113,0.000115035323569386,7.00770299246932e-05,4.53382808359888e-05,2.70078540394063e-05,1.47884760376106e-05,9.87993515025293e-06,2.66213513275334e-05,5.23467779672571e-05,9.77079714467908e-05,0.000149443333650073,0.00016205361499033,0.000231312908316949,0.000250560401520571,0.000151553679836538,0.000104929266906287,6.84573680405498e-05,3.67991784374383e-05,2.36856076790223e-05,2.060681027149e-05,3.43382484812555e-05,8.26508874933031e-05,0.000139147893500125,0.000131279671661697,0.000160737999609965,0.000131189155273837
"Irawaddy",6.97913613428145e-06,4.22199890242105e-06,2.4942403685288e-06,1.54536750679342e-06,1.04138067451265e-06,8.15665108628371e-07,4.81087230978388e-06,1.70938235613974e-05,2.82629274278853e-05,2.83582305265559e-05,1.77360969049023e-05,1.0396160636141e-05,6.35279590349745e-06,3.87865436506969e-06,2.32237840985855e-06,1.44575590832443e-06,9.22034942524528e-07,6.41329859231777e-07,5.12923971540855e-06,1.61272393903179e-05,2.95524276074159e-05,3.10873202769745e-05,1.99183010625241e-05,1.20800819867457e-05,7.37820163716079e-06,4.49108883571636e-06,2.68390224162932e-06,1.67001203818487e-06,1.14410372736265e-06,9.40106900810566e-07,4.27298655662565e-06,1.54310171992801e-05,3.00554771634249e-05,3.19492740198178e-05,2.03682264647193e-05,1.22078606816622e-05,7.45735101783192e-06,4.53391748906431e-06,2.69665291179616e-06,1.66743883509219e-06,9.98779067486244e-07,5.94641492527334e-07,5.34895150184692e-06,1.76907857297262e-05,2.75140850899208e-05,2.72555577021246e-05,1.72507076628272e-05,1.03115690924813e-05,6.29165635710214e-06,3.79670324291874e-06,2.24213947877095e-06,1.39157825436263e-06,8.82951098004696e-07,6.6513125776396e-07,5.42434052704963e-06,1.67441348783953e-05,2.89098139571337e-05,3.07394051306591e-05,1.94653678147061e-05,1.14328021175085e-05,6.98087250733872e-06,4.25593475076897e-06,2.53059286129829e-06,1.56867558121419e-06,1.00938235084233e-06,7.1234169311339e-07,4.84947165150931e-06,1.6961690672798e-05,2.82191838007586e-05,2.66742673720718e-05,1.71201011004834e-05,1.04689429696039e-05
"Luni_ext",0.00270028955493624,0.00293329541883273,0.00257413427703738,0.00200774502174786,0.00142381114814455,0.00119158889400475,0.00208951029733825,0.00474039829483455,0.00692516976438579,0.0114613556153006,0.012277551499601,0.00837916101745543,0.00380105534335509,0.00366045306583317,0.00284630209785571,0.00184206996265566,0.00139424871697696,0.00132158810567228,0.00140819016734114,0.00278949059040819,0.00391137826231263,0.0090158092483526,0.00874732161084066,0.00683294365620192,0.00327671637941374,0.00376699831730709,0.00322900024242459,0.00179636409591615,0.00137905101371577,0.000993510344433989,0.000771893182938301,0.00206417001211924,0.00353325533028803,0.0049492093222954,0.00549034332534018,0.00524132283936673,0.0029559609844109,0.00377932881257299,0.00336428565947769,0.00241978333041915,0.00211220697041359,0.00251770162142597,0.0025600836599341,0.00382621177788397,0.00552140539959741,0.00389140490022722,0.00473355471960297,0.00454103705630138,0.00198323451633624,0.00186682032872928,0.00159555153311498,0.000898026540760335,0.000890965568414819,0.00147206779231966,0.00197052662731848,0.0023483087782413,0.00306400297978787,0.00715753492556812,0.00703040841615988,0.00486199982668162,0.00258547827993531,0.00282121052819788,0.00256174689444305,0.00201268403290211,0.00157849191356128,0.00140984398447123,0.00138865122785667,0.0030289724426562,0.00563520723345578,0.0127447368266494,0.0124460975323456,0.00836728975929199
"Indus",0.0981754984071171,0.0867448197684217,0.0758233173687283,0.0461689436834985,0.0289080230104681,0.0665331211501811,0.120216335982424,0.25357742425985,0.377117554496164,0.4920061249346,0.32172215794762,0.194815368238333,0.133001258106694,0.109057481772749,0.084446533815906,0.0438536192351775,0.0294224984772113,0.0545205060293764,0.103626259451457,0.223130129417134,0.373107168381793,0.548859604447276,0.369000338628525,0.223854999478368,0.143434551061122,0.130472007884762,0.106587824790956,0.0579587079657707,0.0358946147691427,0.0447437455822844,0.0754184696678773,0.154274947057794,0.27897433633322,0.409301164767749,0.286718482895334,0.181256760763684,0.125105256077539,0.118119541113897,0.11701060315857,0.0744860537168911,0.0612367085808724,0.082434444848312,0.132921469607469,0.23566711537457,0.357171419777209,0.449538283166573,0.277228190292101,0.145961143960191,0.0893258487137718,0.0737726322316462,0.0576889368144716,0.0333374837774561,0.0314262447389116,0.0369444370281795,0.0666099975174541,0.139638066758431,0.227817026093835,0.299667095530227,0.209361499853938,0.136557607523994,0.0963054767490547,0.0905325051176034,0.0804922749753099,0.049856310206825,0.0332655285124009,0.0607031293789737,0.1220027405041,0.278382377843714,0.492773593266879,0.710009692022851,0.446762168947589,0.23792079111061
"Amu_Darya",0.0151956935302206,0.0051917737291158,0.00336278737440919,0.0025014280753586,0.0022881858218203,0.00349204118061768,0.0135754215212375,0.0434268343023095,0.0507911559632502,0.0605739562611189,0.0637281954215017,0.0536959176623778,0.0268463105818464,0.00841252937673917,0.00585957117985072,0.00476300412381241,0.00254661061724224,0.00310609527295151,0.0109900164644221,0.0375601071793146,0.045065986086131,0.0503719007262789,0.0553818519037485,0.0497732447651946,0.0257535407375936,0.00842843023931759,0.00527550222621069,0.00377386917506734,0.00262151851020161,0.00368631918125976,0.0130681021602156,0.0417065708364439,0.0504908847369269,0.0638122969901434,0.0736093813282071,0.069185542854151,0.0357366097749512,0.0112017275818531,0.00736297679848596,0.00539883773295364,0.00508731509586004,0.00653778576097523,0.022611612134516,0.0715020264995797,0.0735506739335512,0.0840996572210887,0.0887672084117005,0.0728442260722803,0.0365061305953401,0.0116022768217659,0.00719100529481403,0.00517783986003498,0.00376783441138198,0.00447950950738038,0.010472409913803,0.0310561017123142,0.0377825592980511,0.0416233420027733,0.0420908840197899,0.0306592421049291,0.0151740855176633,0.00523443075456604,0.00355176798351407,0.00279801214629404,0.00221281965925347,0.00306438044717735,0.00968399028580553,0.0291563273196952,0.0350898744318374,0.0387268499631457,0.040840767387546,0.0338385037572879
"Brahmaputra",0.0028600940971758,0.00174317269588312,0.00121644455539736,0.000881830297154341,0.000746384686375785,0.00525277664399302,0.0152526429295544,0.0214486189315324,0.0236576047720701,0.0171925987110736,0.0100528925430423,0.0061597940559141,0.00370935357604702,0.00226794648633024,0.00155104231260456,0.00117054193131051,0.00110413393277362,0.00479989628646495,0.0121301046514792,0.0155205169177042,0.0166374314085379,0.0134271550165643,0.00807455828932883,0.00493852581115289,0.00303738552695701,0.00185647277259561,0.00120652435959958,0.000942458013355109,0.000792883190414829,0.00276933755448888,0.00872558342488697,0.0128228954879454,0.0135258264410301,0.0101356606748854,0.00607225116119814,0.00377094820596208,0.00235242159891438,0.00142072230138007,0.0009499426833345,0.000763431571766455,0.000630548117098965,0.00278467439388711,0.00815754400540751,0.0109066343628719,0.011721233066297,0.0104255463621022,0.0062833885207068,0.0039164772398242,0.00239267894429343,0.00140916424699198,0.000923900335287073,0.000677228679236998,0.000931764400687532,0.00380439931588927,0.00878286839164638,0.0115302174713906,0.0145515862184571,0.0127496499516724,0.00751517907422195,0.00467382295043067,0.00285915632732661,0.00173433376115758,0.00117506803356823,0.000809645649041041,0.000612050526436357,0.00479336121811673,0.0134269406040423,0.0154197332047613,0.0169284016438427,0.0142034380813932,0.00869753366224359,0.00538367918075018
"Syr_Darya",0.00512283052299359,0.00219741791442279,0.00164805297325784,0.00123694950382078,0.000820240059512936,0.000739314231947817,0.00376406949130913,0.0125635223799539,0.0159284969787447,0.02039724456429,0.0189127373828521,0.0144483421723342,0.00689983663813593,0.00232905202324609,0.00203246593778289,0.00186469197522202,0.0013082469995483,0.00113820267225221,0.00332594593014258,0.0111577028332687,0.0148077488599589,0.018294814911108,0.0171479661068459,0.013917579634701,0.00689914760981241,0.00243401534776006,0.00205741899441856,0.00159431821170528,0.00105959222576236,0.00112963170437198,0.00369231063804998,0.0116702704679706,0.0158401689607705,0.0217564251556675,0.0220873077004657,0.0197321958663153,0.0101326530298911,0.0036431280441303,0.00319793129134357,0.00251408636969764,0.00175291965686692,0.00174501243801191,0.00465982844910939,0.015968091350231,0.0207139724558494,0.0249864859771274,0.0229404848107206,0.0174547098531492,0.00833613817051166,0.00273346234016522,0.00220756516713552,0.00179847111288944,0.00129887684763313,0.00110100887660032,0.00245687226427102,0.00890364713423668,0.01251951499481,0.0155774916381458,0.0140019234326714,0.00995544255259314,0.00502822882799029,0.00212809625504362,0.00183821271715464,0.00146678247141143,0.000928995126488,0.000787351672492916,0.00234805598215509,0.0080860842033631,0.0108134898375145,0.0127617701820109,0.011332346557327,0.00853059190147875
"Salween",0.000269084581603313,0.000169547885014253,0.000103899411363917,5.97313738730947e-05,3.7618008884009e-05,8.4082965163704e-05,0.000409810407178767,0.000907309373686085,0.00119377176006339,0.00093192962424384,0.000582924578846322,0.000354547331109478,0.000203771964495588,0.000128790243862622,8.11790813900634e-05,4.73860237822692e-05,3.02257376448449e-05,7.81185190506259e-05,0.000363230743044025,0.000805086272372995,0.00112213969617624,0.00093136583440495,0.000602374436514775,0.000368424255573008,0.000212553061574163,0.000134721104388951,8.3826343470354e-05,4.87098859545832e-05,3.17160203677767e-05,7.93078955256868e-05,0.000372676490342702,0.000848862450640089,0.00114685812459665,0.000900315135025781,0.000576149610988951,0.000356565124185631,0.000207288922597957,0.000132787352970444,8.03517294942133e-05,4.6124860491156e-05,2.95074436055111e-05,8.80272692291525e-05,0.000414634946293114,0.000823617747870555,0.00105142925040189,0.000930009328794227,0.000597277543373288,0.000364501114788255,0.00021103937896094,0.000132846852905904,8.17565991547034e-05,4.73504914826114e-05,3.01265800969499e-05,0.000141404020039113,0.000578076356556063,0.00098733362516296,0.00129496709425838,0.00120039887705133,0.000769462164753149,0.00046728084866568,0.00026908796447471,0.00017078165972563,0.000102973961926322,5.8098304334986e-05,3.66261729813985e-05,0.000120725933379191,0.000536325248491828,0.00115598739417343,0.0014962573348218,0.00112167854024361,0.000714366320167219,0.000437007130779382
"Tarim",0.00732298119599629,0.0036066087116885,0.0022814112510984,0.00180687705208241,0.00173183509067013,0.0117487143113547,0.0657403905695525,0.106533019373409,0.118393288723949,0.070817120742025,0.033039284263399,0.0228965512067822,0.0131261059858396,0.00617965387249655,0.00394469521660573,0.00367267371364802,0.00495002458774682,0.0194348658627545,0.0808002491459855,0.136210337041119,0.175223899519276,0.107108953389402,0.048727388310222,0.0342139257578343,0.0194877590885333,0.00924446184363964,0.00574818171614344,0.00453201567821282,0.00405831189676197,0.0121894945474998,0.0539099669017406,0.0773378197041673,0.084906627092214,0.0513042243091446,0.0242498884057092,0.0169943702401813,0.00979586970483745,0.00468503212120308,0.00288820310520981,0.00276776455390721,0.00493882945299262,0.0174056090698486,0.0917999426045902,0.152547634512121,0.163114727949634,0.0980142248613477,0.0452638745672444,0.0317008649243658,0.0183101396924668,0.00852153604169954,0.00538179967900889,0.00451391734137514,0.00442560331162563,0.0145871756609698,0.0548138537197008,0.0689079560622014,0.0711504326583767,0.0424265525394868,0.020165708341427,0.0129792633329345,0.00733886931593433,0.00366111131788315,0.00234618419935788,0.00179967492484758,0.00294833914784155,0.0138491544109191,0.0624258735810811,0.0897720016390415,0.0864330145679925,0.0515268875738888,0.0242674288122073,0.0165564585289319
