"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"Ganges",1171.754707393,1374.43508027923,1218.70983300451,1047.42098126064,1294.10733494488,1144.94313811346,1195.69820658809,1198.51351471511,1228.86615342043,997.863945771076,1286.56588104267,1131.56764723516,1135.12466678125,1342.27870777252,1076.12385117011,1043.51878639963,1201.91591358131,1039.67552931218,954.098265754468,1457.63246908539,1159.49569939641,1181.34471612155,1321.08720646701,1078.38502548824,1133.15183308035,1010.92070795822,1075.96713932742,1176.43804898791,1587.67256643919,1159.92775243616,1381.11485439526,1019.24061642722,1173.77001809557,1441.86216524071,1314.07208074592,1007.9831480815,1328.19676114151,881.74330208307,1179.43258233464,1352.04850130974,1380.07935843282,1023.07914180219,998.114848794905,1226.75171741523,1404.91118188792,940.4136608774,1159.4254161727,1088.89845586253,1073.57530038524,1161.70920623287,1197.84757158631,1119.94003437851,1238.0411287164,1067.70899415328,1135.27738232632,956.959132196777,1098.1061449114,1057.28819929247,1212.04533791629,1105.8429483217,1365.34619833909,1353.42564227574,1246.21237055126,898.439527435787,1276.14388065081,1158.73767573803,978.928740968599,1117.91967812625,1142.94731329272,1240.79655020447,1232.71545244696,1069.18179297724,1122.75628667017,1149.53175277759,1054.20911610683,1257.11679413893,1421.26390062384,1212.34619454993,1141.79451732415,947.068943542301,1423.7828838427,1255.23102725282,1048.45531341311,1097.7333679261,1241.7646298208,1289.52435350621,1065.66214762639,1327.53090148213,1111.10658658062,1075.5473912944,1016.61792789174,1341.19484182035,1302.62477751196,1173.8752373677
"Mekong",1378.17888987072,1491.12311406221,1405.18442729638,1366.33081631912,1457.50268345174,1596.43033181013,1611.05714357942,1693.69987507951,1409.63542204446,1457.3844172966,1625.27221086659,1429.26332142453,1461.25945214466,1484.04815674128,1521.45360225899,1357.03781271004,1549.40799338734,1523.01893702692,1308.07260953065,1521.87892185592,1451.35981055417,1424.27621514386,1527.83441500944,1469.59756276747,1624.05752489451,1420.75753253253,1460.91005123263,1640.25375226419,1603.19941353889,1393.97433309629,1617.1940150269,1344.07436597697,1468.64146948541,1386.89090611886,1417.67921659764,1503.17434504952,1671.71402495937,1397.13058361983,1554.27171071609,1432.65899112368,1568.31960136214,1548.37187665472,1462.44098092014,1457.63772299296,1469.69091001535,1555.85461777756,1368.59587082913,1555.06380552693,1593.22045406013,1564.5930071972,1660.97697817564,1549.95087140754,1540.89870448213,1489.69055637469,1560.91276030041,1545.99953030317,1515.3899509599,1588.48466287535,1479.86797780564,1459.17545628332,1659.77847143916,1557.3067132148,1495.9680794843,1575.47742349896,1294.68645709006,1527.32436774998,1642.10892579539,1525.82379411622,1473.47378326828,1605.49487321306,1468.11137416326,1534.07663523409,1534.18734495457,1477.58361553377,1557.66450829922,1400.58362767541,1553.39910664918,1584.60308309409,1463.21353126915,1449.16080869597,1399.5071500314,1482.47472833754,1602.06532907791,1618.65387464887,1650.59403462659,1477.21599243891,1549.82081977428,1604.75859412384,1559.34676457719,1602.53486694758,1547.08164254419,1506.34042202541,1495.76151437194,1420.79642492326
"Irawaddy",890.361550052769,828.582041744291,869.382522106559,974.647452117201,954.567033396337,950.111568220662,1021.090795039,1056.83437979357,988.273917319243,852.862763115117,955.156795277798,921.152419033232,1010.6594281637,1058.76926405187,1020.46807710832,965.430509944272,1025.72752870163,954.367290691111,990.563387455097,950.808664299018,945.548344631974,983.723555193161,896.981907030006,860.094151401247,899.508993294284,963.913543829592,879.69098303345,1048.05305120163,861.015388984308,839.886759764967,948.592195309852,1026.48809799868,954.255727443178,992.689661906982,934.281315262944,954.290236098271,967.330962773563,925.954320557896,1011.92396125072,977.55142245681,922.636668738574,925.293642315491,910.392529429982,1144.3498999202,973.585076235624,995.076359779061,851.3239296829,894.013027057884,962.075374037155,864.920086680472,1016.70629616744,951.071544936332,974.806354197673,927.748904087728,904.40923890737,1001.52843891835,895.59913872751,1093.77799157108,1079.94489075759,917.658025010672,1055.65365363919,966.102357619942,922.158763265999,998.030803507255,883.017000098377,1016.76866222897,1009.77466488208,925.850135690893,1022.04038682911,873.24552835596,1006.90081675022,931.92080673906,952.426432897662,918.717581829376,880.19699008455,977.822290943328,933.486877499917,922.172631258912,912.077190566312,828.025177827285,892.288439392429,881.42826765728,1130.10134878424,1069.01413491256,957.48352347462,924.174877490324,892.167756911274,1038.42562557527,1036.71107137323,1009.11779838099,970.490651549072,1006.00344307647,1030.49957774545,1010.05878616977
"Luni_ext",116.581902845788,112.159723100307,132.443206817247,89.1964618738053,145.207997996564,120.205127254446,148.715482429173,127.321903441218,131.895632243055,35.9472476424549,73.9745759719655,70.7349427776784,69.7141627022451,108.20224662341,120.847097679601,54.5746567548693,128.296574194749,51.915446568116,40.3626744481441,131.364041835041,54.7851627152857,89.1861124730396,137.09704744998,103.495895523545,65.7473750807147,88.9665952313512,79.68619361893,139.204749963094,111.016977569834,70.1356820932569,105.983201500649,55.7734228550273,111.932805279058,52.5697319782257,126.044120492231,119.057451489843,105.059948197549,62.7272511749505,51.0043303712573,109.556844633944,141.101871544887,27.7252554293122,94.5616719388968,170.943958993163,63.0229574414773,86.9807335195746,77.6316541260177,115.320217226041,128.425707694211,155.331864309397,95.9744834861424,99.1593521646215,54.4847046509025,62.2669637580795,41.2059315439687,53.5288445999774,101.528063102592,47.1644103330758,125.756241727449,80.2155076070265,105.011383113806,181.203555033555,77.0305675369298,45.9139328851824,82.3387169587773,63.3146877913422,108.368229363936,82.9271357008682,64.6743523249653,61.4058543865411,65.4718006842698,94.7487060176858,101.912896150985,72.6685024607481,83.5669108229194,144.608732017719,135.955929536587,187.450837765181,112.68912864668,52.7175544555383,132.573390180339,82.8012670402127,38.1502332777271,102.952945938571,97.6092957122777,103.597712754505,84.2158590019903,81.537117738089,37.1469969949642,91.4418623012216,74.1701583841017,111.765486277561,33.688944754084,90.9172384806466
"Indus",772.616501350393,1090.54304202881,777.874969035665,568.337820148134,940.063801017221,878.523111660763,739.433652307574,632.289054075018,710.944405376885,658.447568077736,623.030278788419,710.705030413846,609.364695052058,716.533855001414,749.791156357341,539.665293910666,773.702657860601,567.661088806645,598.593521466546,989.292858484269,649.167900007325,768.117295150109,721.803106056552,951.977110458225,840.549819003485,741.188716376513,785.871096490805,603.899461142081,724.084136999777,647.080155999802,738.873227029681,557.014808513073,839.189543339028,674.048428119862,928.806627478805,708.84372431555,739.59976857372,676.210290690214,724.282914644868,824.127199537575,766.782992736279,515.68758611404,799.683010697586,852.736862702335,612.429703592353,708.964318507015,751.274415641546,810.615385231371,965.271990031275,694.708546309354,766.330588928948,787.879322439829,633.132610593653,671.351434259492,602.527579237176,642.386628637634,625.478985766776,587.853009304515,635.443708680577,700.334279977959,708.81827638535,939.847837749409,738.370770272319,527.971597558463,804.417378501808,712.777790793224,784.095105229901,631.879377526231,799.249712203892,721.034410230131,621.732347518802,787.618053389619,870.72281729154,743.800608207688,711.77928244501,981.341632170218,825.529793562222,845.261751769734,678.320215568843,644.478404260046,813.597404135126,741.934748381364,630.196505242737,701.604444782098,794.202488635049,691.789371192209,630.448254407117,696.057414164833,589.960415700177,671.219691099864,722.862036220424,670.911846334155,459.608842259263,755.465290820025
"Amu_Darya",361.537991294578,443.455325866142,341.373648278634,286.050963908558,433.094121659691,324.811589452691,293.311007958253,313.515070952167,315.443709262533,340.332807186452,279.220280227891,326.817130551606,278.296939522226,266.610520715125,337.136994205793,344.925834258582,401.962497435344,340.454634623135,335.492909296908,332.319071849732,283.276115962034,303.967758701694,319.433100561273,311.780999706162,368.562133181384,317.988002070503,379.635732564295,292.22976791453,302.775498861173,290.659330484394,307.193170116429,325.261375611197,355.383638327057,323.738989009219,350.898659337166,307.347005663671,273.418696979696,305.724265542875,402.288790710083,315.826699094534,252.102635870446,320.045182187793,341.603906771009,286.190101181422,289.303487513174,327.730034894336,393.169840087079,399.349495693578,411.677013446999,290.686968687319,310.896191993975,252.332047099378,327.821208069537,310.858499693606,379.015903180185,406.250944880373,311.719457664644,376.280743078198,383.360668242656,315.753898737076,278.531155376156,334.312238847603,303.862483524446,326.748664427595,352.635735445134,371.972777701263,368.825728188077,285.473969480463,364.129932540074,327.40066521663,327.439762919692,308.859108001557,354.894168337576,251.551614747737,303.94816952365,378.508103254538,328.721377279974,348.06294068277,342.371413887772,332.920658539833,260.536035400582,312.565080619686,411.409946715089,381.422717988469,288.322444193917,265.78558930975,265.038599011701,273.312486452802,299.768213320774,347.894858956189,341.828006921454,304.831077101961,293.611339641838,347.36852716656
"Brahmaputra",1293.891093466,1321.67310939566,1361.359540435,1390.77134497331,1259.84348866862,1449.56127920385,1393.33748843554,1228.73269320572,1461.09336308006,1545.30637028788,1328.5177357971,1478.67827897869,1690.57199240074,1402.18083330769,1470.23258276453,1244.79112041437,1358.2458499154,1152.27566071099,1677.17272686966,1791.7824236357,1221.19747447418,1364.72692773425,1193.21281409116,1322.79379969571,1096.80627160346,1535.83833631042,1371.96712751689,1380.11824978078,1393.64709499831,1733.15057335223,1290.6084732894,1396.86208847527,1386.97412259316,1457.02101216567,1317.67200601848,1449.1271982808,1446.77270605197,1562.29846936847,1782.04696190442,1398.43021092904,1341.7829827253,1280.30465322157,1279.28669917652,1521.79288301483,1329.23199169003,1385.83600053086,1444.63644637107,1344.09451274236,1445.1018213022,1212.66410354841,1799.41183870591,1397.09384230445,1327.8331324001,1417.21088862739,1380.84263236065,1611.11520272923,1416.68674554168,1644.65064960662,1436.29286421094,1338.65759232544,1543.60837084037,1457.71939657264,1600.55422483659,1328.19284498898,1519.85169739052,1587.36559890293,1477.06686461242,1339.28880159642,1755.86675809718,1417.77391031888,1567.24280713206,1241.7465909493,1394.12716951752,1613.25295775565,1480.13975495692,1378.97618067812,1524.19708127114,1233.87174661959,1488.58699863128,1255.36121155267,1553.06207582605,1306.19285131245,1584.72806957884,1533.3255782296,1463.66701725888,1317.72773446917,1333.91507962664,1508.09163331748,1363.25427698399,1585.82702171966,1446.42159215668,1480.63673084226,1623.7226192935,1600.09146784387
"Syr_Darya",263.510254942177,301.537152311327,300.090081313143,268.163170497625,328.632387965551,290.748893932085,243.157503049687,302.683621975514,275.610058559499,285.793325860084,270.260027480546,281.408101229697,313.40654993536,254.64508351145,288.601968985764,333.162519410903,282.437680759878,338.30412226124,286.231293179608,269.627194783171,243.548309044428,260.394530554301,288.496395559438,286.230227108212,301.140781232616,272.749791345833,283.180011315523,297.76599037334,246.105862555184,248.36132958712,286.161946803979,291.89105704786,251.315495596047,268.900931810278,268.797644511127,283.818699894772,294.144537293137,269.474552053031,319.355530471557,235.960046155348,225.86222033446,288.023800938887,280.89462136133,242.05727583812,292.946697230604,308.266093162396,299.415046246988,332.144747474444,300.504756843965,285.376879000244,279.184371510239,243.702626250082,306.190536444632,247.022400888226,314.482824823519,331.646870257309,296.662754213303,336.755635425259,286.349462560349,296.423358870451,247.202534601513,279.542932187775,289.087134984458,315.472587430335,307.903297363902,325.470107802156,262.309812585635,240.138614504984,323.004562580294,263.284149594311,273.496713837538,276.092207975848,286.806518424738,264.034876924586,252.336835512637,294.452496219635,289.06755878344,293.373112331171,294.443115096661,312.449997795232,223.243434541515,249.395917346877,351.333692868024,290.635381666742,239.500510532454,270.070586239953,240.767521273908,274.46063394551,321.304082221061,303.219917247453,301.657871754441,332.082511271342,260.743117001097,319.43036469014
"Salween",496.14367637377,488.116259875441,511.374924247761,523.49218683229,520.134559685289,555.489942561038,581.948470141854,600.079628739039,545.488821002924,501.816448258384,559.651281527645,518.072540380706,540.067863156766,561.263292286443,566.929853176546,539.321425996343,551.483273594891,553.314562459597,527.951892571993,544.183142245909,539.474991376684,558.286492655933,512.670242481921,503.545089746722,540.677848852785,571.528888149586,486.789596217836,584.592178201796,516.568549671816,512.036631086186,553.376394365311,543.845001945435,549.200741446568,533.85330355853,568.348406048614,538.811889028629,588.470061474782,520.453642356303,578.864051816724,563.505599051324,567.034612099023,527.330644406438,540.029146382692,614.048027143467,556.124599894567,559.234659794095,495.525860698187,547.006302976238,575.38548477854,521.423022869655,594.281889974166,550.844618488783,534.68181295746,544.503034176196,525.789714912497,580.266680591339,524.612804848402,625.768330204656,567.884647519607,521.303583219206,604.16763242822,550.234065586779,533.096585487125,569.887791673632,497.005675312179,558.499413596129,529.20358962563,573.386102800563,568.23261926128,544.158821052222,584.650952939637,537.904889221402,532.816962964534,524.223682456011,549.93100050545,535.233549091511,518.306206259431,576.448540466926,558.839005937431,497.609351201977,546.811756029443,544.673301695386,619.794024844071,597.176181971185,574.76355125737,569.127079351755,548.747281504013,577.167793748045,609.923509595586,563.316134912479,566.219663978701,582.386627999775,555.067838772312,570.132690522639
"Tarim",285.193902154414,362.756304527204,236.135870052886,267.857413423281,298.468934906296,280.353145776079,209.367075357373,232.518199268948,250.78663154735,292.403040796188,230.447776775603,265.296176752409,261.284019619569,241.922986471414,273.136967989178,260.294391592047,272.097878397511,307.126773598571,223.208907439024,293.975135236683,218.164904223106,243.823641841958,201.214516934321,286.584706489909,266.807648663487,300.559772272069,366.960015112409,272.702814884446,209.147596979637,252.226521299461,222.108996990535,201.29726797287,220.751645826062,231.931158174045,214.363378483634,237.240350033453,225.870935562379,290.31003413699,269.468256202252,257.800086969223,178.679352242175,284.65446527471,294.14111326125,253.804105118515,225.597783500511,246.908661038807,318.573800589772,319.707826488846,273.766500321594,271.600905872696,219.864011171215,271.827858605184,330.645955744174,235.05910026788,259.724538997065,266.75819978651,245.71277966019,288.708979179454,275.342314003268,241.070613633697,243.539270229183,272.991719254391,311.454523588225,219.900774318614,271.56996566144,299.897668071836,283.971594286957,172.284613547871,274.859745678017,297.304929196079,276.445364024907,298.390935151693,285.893552324003,264.24479733113,220.542905806873,358.925910371429,213.565206189361,318.191513686779,270.284744237763,320.536269058738,247.15895689386,261.682258468429,299.923123335926,285.514103805942,213.77539073089,237.273074435838,251.288279182529,273.401855026582,265.205251480038,285.516786933484,279.313107737653,251.507265165179,265.195131813873,306.185481485537
