"","2000","2001","2002","2003","2004","2005"
"Ganges",539.203122326138,687.612340098301,615.652128008099,686.472130933009,674.163212452039,676.207083126838
"Mekong",806.974056044062,603.547261753317,630.910440790106,781.872550840956,882.677183632063,845.207440601843
"Irawaddy",638.807446701288,569.725918788168,575.524896068678,602.6311686984,550.31834305813,609.347705811309
"Luni_ext",25.1375420155623,33.3503554955248,39.6533377186918,35.5745995220107,30.4767933113816,27.2286106952059
"Indus",463.020321535932,529.875231664481,553.346505382147,499.790213091171,567.315687520137,445.938349256296
"Amu_Darya",133.37349618927,181.903915064004,157.022565614745,103.659499049656,141.468736663942,153.030896082387
"Brahmaputra",799.930495713828,857.524510716372,1028.59133057565,959.432282876403,887.10440684558,873.438915700816
"Syr_Darya",108.722551263503,112.057897608683,113.900366417599,99.2976322773593,108.811726108747,119.32022309826
"Salween",395.861064019531,355.320251792336,332.977388989072,385.595637927142,368.198470151886,355.040932671271
"Tarim",105.568221787568,99.8335268432695,122.528845577381,85.2714700098553,108.841924728548,110.407712411997
"Ili",70.2617985364365,51.0030723711034,56.5736204080725,74.4044504976209,69.5776060494457,66.5404517035243
"Inner_Tibetan_Plateau",186.729118285616,206.808571019445,232.084982668135,195.2853030792,185.66435791509,167.310107195221
"Yangtze",1188.29224505062,1399.06493898901,1190.75511949746,1370.51670082346,1312.68222390603,1207.74216391288
"Inner_Tibetan_Plateau_extended",52.9738404645741,25.8871569556943,46.7886355046926,34.8529919695391,53.1519774864167,41.8221787785239
"Yellow",205.691288107152,129.908132946869,151.910762033522,199.463607535446,224.634775813156,179.651672629926
"all_basins",5780.41961277907,5889.26485797525,5893.85504423728,6173.17642628756,6216.94597254245,5934.87786711352
