"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Ganges",666.763480233006,577.081601097892,529.12901176513,624.135710835131,556.732835646952,552.09073308678,526.448533399671,494.818342941555,689.839745378784,598.26138455413,771.167277123878,584.782949146738,484.794057465327,632.774962345352,584.801685844968,603.124769813913,742.045868836831,730.601198500584,713.346254786951,655.216131625895,652.631784185119,642.658844879288,574.480893718422,849.283518372024,567.791190653966,549.3564005787,517.587369809834,664.62607920129,781.389735797153,499.826375929255,651.998858369619,756.79391624296,650.08237134603,732.747138673866,520.574054399899,527.339412413047,678.427725338737
"Mekong",816.671246149876,763.504602201143,699.456081698203,705.286881170118,666.083730974494,759.019480841066,784.493055577339,721.338687814204,724.181089828338,795.505993843065,802.122639982718,805.42584536265,648.983349724808,655.642037691537,758.289308930887,561.970336239865,601.902124680385,588.813281872247,469.921372797648,661.241203888562,761.298660019265,607.250896556068,654.428996995203,578.106051922041,598.675085104727,632.93736736409,580.386104951274,559.981398859294,622.863453149333,537.810475153653,468.990150624337,631.438354564656,576.360281165193,656.779210528494,558.635618814054,519.757814540558,579.204439615762
"Irawaddy",596.415053049924,522.410834930266,465.626573612436,602.040036315984,546.933726375852,502.000756579429,455.663891440801,463.963304458083,569.166154782912,526.929151525344,561.804134495485,573.106224968678,481.404537361577,612.000587505839,560.735567078193,650.973996777568,615.282154681481,596.427128355769,593.832926029115,666.868421037582,614.893357960304,707.911064396067,627.437539130256,674.365007891151,725.306980907472,571.604900283417,617.511327931485,773.279671295245,735.12611927031,631.796867744447,753.519353793302,748.962215506072,639.344041367788,680.845592928375,595.000231161738,700.193248629356,712.038764321988
"Luni_ext",25.8183934039906,26.1009892253897,23.2397408674395,28.1765440098246,24.9932222248602,25.1648946672787,24.1424814377003,25.6805062760273,31.0515465308288,25.051321664165,27.4877157524726,25.5542215476789,25.3748214932767,26.3444087172715,28.3750321166044,31.9802949554984,28.5918367322235,25.5455195832047,25.5618222589706,25.4304560848836,26.6292429315303,29.2504696726042,26.1040276138271,47.1356188852176,27.7913664945772,25.4496296162082,38.0147126933838,25.9027904943967,30.8145024404052,27.768075591501,31.7070036308798,38.1455085129258,33.6520691098141,30.8263373409075,23.9709055228565,26.4314100695954,30.3580647604716
"Indus",461.883771330799,456.349671782238,478.533137152407,542.968234906017,502.775893653951,465.83337191739,510.403398078523,462.961399878976,532.794781266391,442.108892137071,513.907514078072,561.254050278952,562.931171066596,476.531051372271,576.322680656578,571.419676662695,527.680889174852,461.758199891723,516.722555064043,453.98067014691,407.069897082437,418.953481659189,435.346151546537,504.177378316541,397.830419985929,500.105176792048,504.95801436668,431.144393083391,451.220154789133,419.553937890156,523.624095579797,436.987544157313,426.462155922675,467.640867724203,420.380748579032,484.361124145408,443.797904994031
"Amu_Darya",166.941965778363,147.577176857966,144.092056338799,155.610975282035,134.192216646984,139.512863212658,124.266505657384,166.470708682107,160.906594934065,137.766321373041,162.770305723062,196.10553875711,201.500597148306,168.046656341196,140.047003568589,154.407426860378,146.884518264224,136.093646489967,204.608689925746,141.824079436808,93.4481214090832,91.0047504730952,136.596380485706,141.232090960731,132.995400025822,172.357559937982,124.173653926622,154.894708860735,110.798441731153,175.973078861321,169.722295131108,108.277760957121,158.982697330541,126.886585610445,127.971304102084,149.995603615012,130.527850269256
"Brahmaputra",934.0586156242,756.823719124283,835.128884468804,890.439131638734,897.456173176534,828.71467787427,786.831016982449,864.671522090609,1006.47775124702,953.330739339985,1083.09922776807,965.086805518362,728.952601227744,955.026452861407,817.77668576208,992.088724300425,1037.28522496798,923.202259357228,1149.15889932537,928.631288731051,1008.3770419214,1019.6539388497,1122.6582564004,1159.29878972377,1163.64397063011,900.393708735258,701.073445825892,934.847789402543,921.278740134391,774.384721359556,988.255498482766,822.341968329675,863.162462860079,718.768093523208,739.438199310387,911.83617156449,919.19021801783
"Syr_Darya",117.713791494289,152.873681930777,107.034895707076,117.557613694011,104.202034463761,106.068764756141,99.3519266226004,153.657206095384,124.474007253309,93.8883972638679,106.229524938908,94.0762291916935,107.646786179708,110.455610853089,108.948985050284,90.5817801470263,97.0936373735229,81.0403878081857,121.664078019298,106.284659988133,96.4764777631406,92.9248075630458,126.16242254369,118.405368314371,112.75316948064,109.74797944893,87.1003028907787,82.9856743737702,82.7233592701311,96.0548145324145,117.444074710781,81.5571431038976,98.9123020021691,82.5912944294467,67.3034792963348,81.810423134866,102.569183981348
"Salween",394.555203709646,391.880876087598,331.206166543511,341.497165320945,350.875029949583,362.189252032551,304.705589290956,334.279158350653,314.730501155119,314.982553136966,335.533951030672,346.550551402738,311.057684891327,345.833612932865,363.948548877872,333.276775969719,290.129716786553,307.650592297989,294.413599165202,378.247085906717,378.560506275077,328.824708456096,351.284851843091,342.389691022235,448.731136165965,464.444715845697,408.460623099403,403.259276113017,426.559428671277,336.856293317112,306.802256731085,416.03256560381,372.778358218183,360.38682356506,320.052907435407,302.334290789511,323.249891345361
"Tarim",72.3868010509118,87.1386778262938,115.576351906693,121.922752413034,100.528671029572,93.0559161108901,108.13949277593,132.189514641046,115.038891708508,96.577499934148,90.4931910951616,101.18368605114,119.895362621826,125.67552969842,119.50350163708,94.052415347938,104.846206200471,85.0129502758979,99.9463647863559,91.4600649390366,81.6629183206819,87.893947835527,89.2074984235934,105.670205448393,73.7018408717299,101.314615045426,86.2653277161028,62.4753353033085,61.6480374894602,67.2238124604385,107.930156807502,82.208327511757,100.363775041883,86.8614015791786,83.16751388255,104.542370213149,105.074113735206
"Ili",75.183233703686,70.5344009445771,56.985302942432,57.3194238522964,56.9245661189832,58.2994100212119,51.9223197774957,82.616144974026,84.3795020846369,63.6638978036986,55.4678814442154,48.8520672415771,59.8290162559003,72.2091278130307,75.4103066741766,57.0542833295179,65.9219344987217,55.6369634691183,78.6129159459188,78.5267746368112,78.8538751672594,84.8550027520575,94.3434889856538,71.6655455580397,73.8666224742554,78.731228480642,64.9919420626664,64.4571993932475,59.8968845972825,68.1803516016499,84.2309559174166,64.0891545408809,63.8616934513871,60.4441413986347,50.671455612046,62.3260773293386,76.394977917849
"Inner_Tibetan_Plateau",179.806655422173,163.490974027198,136.283255294451,140.157152168643,121.720678898583,171.996453515887,138.796117199196,144.249059449205,166.230744243975,162.759622889402,150.20036866432,150.172920465353,171.590329736977,156.305686936802,131.507798077268,129.797722211403,188.243199348891,193.531205415356,214.570544878452,185.324410080313,218.515960316892,202.474767442503,201.892371275896,212.948978370795,164.277040024424,200.029854225384,165.477917730598,154.40557430116,184.828504719272,96.095027628549,160.860638927886,170.988683905139,174.777812639115,133.565662277525,148.174243579265,133.675515069477,201.515726390845
"Yangtze",1344.28034571196,1237.88200708765,1234.71250773283,1399.13853259925,1211.89186459728,1187.06282275411,1079.01342931122,1208.55392821468,1220.25982354817,1366.29252509373,1392.32986079748,1456.14748114421,1260.0586294829,1353.06344003311,1244.91752139413,1424.12891595691,1423.73993773594,1271.59694168194,1678.85695126272,1506.95308067553,1395.7009414432,1239.24911785257,1445.84745828345,1444.87203724845,1257.33819447445,1253.14554092227,1026.84098681807,1133.08813394111,1070.75292401969,978.818570877993,1301.85576574829,878.949178216189,1212.03704055509,1064.79227340629,1278.91468008589,1214.91428991363,1374.95741990887
"Inner_Tibetan_Plateau_extended",31.8014528702823,41.8589730566617,38.8930071286739,33.5294890053356,25.4533389674859,25.9267625285616,31.6579309662987,40.5721997955721,36.9417184347639,56.0936573180193,28.8409520152721,36.0924208478524,40.0121528534589,41.799833924512,28.7379806986868,32.1032604379712,39.2202021346152,41.0837418512594,46.4756046283473,47.9956044724992,35.4008293903795,37.3559092653854,54.378752847388,49.2996619807171,40.4037391308354,47.9322128436913,41.1333680858899,43.0532082734053,33.6092904042132,54.0346096882824,44.14611215393,36.715472348384,42.1674645542892,35.3076953482244,39.9406968799037,49.4973784193031,46.0379064074574
