"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"Ganges",41.9970934161092,52.0743055891169,23.9719891485203,24.2951684010644,43.8797172018997,15.7611755332843,39.3824039040298,10.7637168005964,43.0183059039635,26.4440264024108,19.5694595449219,21.7840267360967,43.8689175338518,16.9813254443001,16.1978405741062,13.9122541300444,24.85854547059,14.3285789238841,19.3152961068724,36.0331105968776,23.3352484747609,37.3713584372492,21.4515292192683,20.0729394452936,62.5736545459065,32.0159990106478,37.6327134039327,23.0794977643319,29.6433299439987,24.0598760986648,34.525557210183,21.6377659731814,19.23125416948,30.3641714678329,25.2172018227634,20.8382653685302,14.9458331902552,33.6248684619918,34.9337469566895,26.7461454676032,36.2548219295772,26.1407902370536,18.1592228266391,14.8746929851885,30.273209495757,13.173823971359,23.5250826129396,34.8746943236706,29.0441631966648,8.23570080788483,11.2587727095568,28.8008304144554,15.9627865204467,23.6152048170301,12.4354123699576,15.4829610856929,15.8087934570514,25.2850381492123,22.1892740261739,13.2362230563791,16.7788993260629,33.7064557663708,33.4969859450875,14.4477338910382,38.7432981988844,27.3205296677338,17.6149633916603,24.9824535332863,22.7700165079751,18.532910080385,45.5568630615343,20.2896757717125,13.2173578952149,21.8560550040454,29.4010003468234,27.9911999023108,29.5614272778501,13.0802093683815,24.0181023434324,11.0167266301921,24.0137269899607,52.6359133496146,30.0353693511518,18.7177850249681,33.2012326113411,16.7472183809559,11.6657281898847,24.4861039828962,34.7669250735731,33.5252792858416,25.3364286639726,9.58516837098117,14.9499189792218,36.8134469398988
"Mekong",8.62886861550364,12.0900217157935,8.01010051316487,7.42532999365894,17.7268796564992,11.0548957518251,17.7779571154643,8.16308170819739,16.889219016323,20.6150303739724,12.4014103875426,6.42275336692318,11.9314179648198,6.02184331004051,7.27377712083944,9.93274799938664,13.0341107126501,8.39063073634575,11.6086316974694,15.4790508623541,8.60862007119401,15.2737849180691,8.24476460417572,10.843441846667,9.35573215474325,13.8422930526148,12.1303022883689,7.33972351108311,10.2300165264889,11.9468553132005,14.4972732480017,8.3681142272732,8.51966893886576,9.1732482908033,13.0134801041627,7.81166572222476,6.75858852627352,11.4044105329753,11.1311003132067,9.51332940092704,10.613811321246,7.31096708354819,12.1608238652239,9.36671999375308,11.6481657764838,11.1656980609123,7.84213928265771,10.253820992802,12.6731387880392,11.2303795959829,7.64239241653061,10.9124136922061,5.18375917355405,5.7621053155151,9.59109847693346,7.71954650078943,3.90400619373679,9.39999038756861,13.2922512885819,17.6770732966358,3.61169959682132,9.48015065521513,10.3050436908678,6.33639177552267,12.2364817698533,10.5396302206409,6.32166004461526,7.27444851403182,12.3847066902296,10.9530148159721,9.47272135248245,10.4475869550758,7.65629864287705,2.79629163523102,6.23552814549666,11.6757486853476,8.24079582940023,2.12702960610701,8.50225450461344,8.18851465900789,8.64492857845698,16.2813845255046,7.36557993025608,6.33019913534025,15.2988191477756,12.3242488421539,7.60496655161467,7.53979847649887,3.73621551586511,8.22403772864234,9.96677426533963,7.67206494703447,8.01602363238812,9.31382548606342
"Irawaddy",1.92083607903616,2.67927466126573,2.07025314455905,1.49943820468645,3.36743886784113,2.74568026549281,3.04472072382007,2.68608773116753,3.16064717804261,4.66632376028195,2.97973349196893,2.35988243952331,2.16367539705641,1.40782493001931,1.67421177252994,1.70032137829253,3.25822901903322,2.40505036341806,2.63439182989159,3.40392948394603,2.23946160510351,3.64246253970149,2.28038258154114,2.33821288033729,1.58670482313236,3.71394920115027,2.38628439454085,2.20599101326298,1.57747165411085,2.60973401460504,2.773656962783,2.26498561936221,1.8614695743905,1.72990490131878,3.28822443998174,1.44764199358841,1.76446781734596,2.94075667984963,2.62866737606552,2.70179805094241,2.03483586618774,1.85494051349895,2.31818372086944,3.27708022185229,1.68725692019467,2.26492242835625,1.90186604484873,2.64367945569511,1.7518392142749,2.31996700113948,2.33588046905407,4.47168187695875,1.96523027700246,1.15250702962942,1.56368469118218,2.28610473842047,1.02961879589881,2.79012596088251,3.14647805954796,2.64283093621207,1.15630485760128,2.28320561073865,2.25241976432324,1.85870308938867,2.52161875035574,2.77888824768226,2.15748694645931,2.27743648415647,2.52721609949238,1.72024748330181,2.34059563537459,1.14574570105126,2.14932636295465,0.919004322886307,1.17138864582431,2.52919332251441,2.01344746601841,0.65902216365522,1.53578775092564,1.9218825605926,1.43565556607149,2.1202736285943,1.2118257655583,2.18822628115041,3.04060676757923,2.31657146905832,2.18911160413,1.77465150380669,1.37836783805504,2.70624918365747,2.72759377445878,1.6069656188783,2.09954613705977,2.01722669618588
"Luni_ext",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indus",150.432746801022,212.310472358364,138.645956340591,106.405529568113,211.882823054923,125.658226070837,117.221896140768,84.5785097572546,129.972069260238,156.108555267383,78.7362772844075,155.102496786332,120.969785366826,96.7795082795486,123.77482347575,80.999019543178,151.260275919281,147.374736535659,114.710516510294,149.259042481331,89.9225868839874,177.93309681208,92.7161584065234,104.066792879766,187.106393741906,148.000247820202,214.432727917914,91.5409423009045,153.446825676313,125.311108899414,128.610161362611,107.065578605945,110.611655679026,149.982180012537,120.79721130305,144.14847811566,91.9363773165885,135.512162702681,165.824431522682,128.065804284548,88.4836063821578,94.3560831103878,108.26406652849,101.805630826235,142.829442844705,72.4642220343395,164.948264295895,183.912904761962,158.260828729385,92.0095365539576,97.5955156211904,85.7714131261847,95.0565414059774,112.511013625688,112.499156612399,107.46627789151,91.7331789648095,115.142683918471,118.013199155477,112.351478928054,96.1417263905346,111.99994665933,183.534359763654,89.2648007556117,152.017918537735,165.667578966752,105.995799448108,110.80309144166,158.127145796217,156.526755719664,135.15638560754,142.997186622747,137.459778938306,88.1668221216702,108.473957880725,172.015828942733,156.733773851394,86.3277618215337,125.622344345826,87.0667578154307,122.92425383454,160.162099458573,140.643876859366,143.247132381961,129.519556806846,99.655813633119,95.1102940178486,105.520731728611,118.006306781071,141.268698585696,100.6651368009,68.088299019181,88.4075538144565,157.823179045977
"Amu_Darya",99.4362563641732,117.082356159812,94.2061610044901,74.4499607765157,117.635603645589,97.4165067054567,60.9612800197748,91.3216141435105,82.248357931025,90.7793685770164,67.1571162374054,83.0220499341122,70.5967967576447,70.7451512362512,90.6543044970881,70.2479102567383,121.759669218611,107.461409194453,93.0771129834545,82.9835925919891,55.7664082025692,83.9895261851515,84.5239773603035,57.3867236268317,112.69748689507,84.7056937254918,147.970382371716,72.8087851053231,96.8010495867615,69.7963209750616,78.9349060748873,75.4304421914231,74.136116560741,85.2956854482785,74.6695440605354,91.6857801025232,72.5029042961714,67.2504655399363,130.37859311531,63.9139021190543,54.4388220725104,62.4213825161987,69.7874198730949,79.2712310699429,79.2276424147003,66.188683432503,116.615810872102,97.3802052537407,86.8136785831889,73.1592509661056,90.4363639287854,71.0181439929227,62.4044566381169,73.1390755185951,95.1242487673843,88.2968761253531,75.4189323414072,78.8361694073074,91.9859898411773,87.3880196046354,68.9557427470562,56.2710141360169,87.0871845595165,65.2635714108457,70.5452841552722,108.73562195837,63.6979417259489,63.7150129951271,97.8508879605463,78.744386167975,75.0641366110511,78.1617283005344,86.6996370416653,55.8409494872366,65.9906315533383,86.358926168084,94.2692528310061,61.7372812652671,74.189791461755,70.2064846355477,61.4383478531948,73.4019309451203,74.9060995378614,95.1346372288192,63.8171813940931,61.3642135844447,66.0496489841794,67.1610530478364,51.9745998055719,75.8993345832794,68.8350365856703,65.7101031834886,87.4198561170982,80.7712724887632
"Brahmaputra",64.0680721327576,81.7171687045144,45.5394010928732,42.537912819137,83.3096702331293,51.3124261661849,79.9272097572111,40.2162529773409,107.337660032129,85.8893533142314,64.3467049590973,43.6952358670596,88.8346193906129,39.8095897694937,33.9550637320135,44.6721026725252,71.3114544456752,43.0559877657486,73.8863107634812,74.7973798169947,49.477454864971,86.2643906935868,44.7244046182065,49.4331179334951,80.6390650553682,85.0766940806662,58.5425344147648,49.4710443744083,51.8416915824712,65.7213726144003,65.74002501867,45.3330676401297,37.0057097414956,51.9263410800087,69.1800413432303,43.5631971179966,44.2187271155131,59.0909891134111,62.8161477272642,51.9597183905958,61.2126633644655,43.2211291850342,52.1910511922475,53.2144048682903,62.0101552749123,42.1679710337967,40.1855840894596,58.1586559713297,50.784056656827,39.406772482399,42.7549970937887,70.0471758135572,30.6315754387053,40.679889911315,28.3837572059028,46.3500439862255,28.4689825642391,74.2392508283086,58.8955073610959,49.1020806962048,25.3476345364389,57.9855399495669,55.1722880601416,34.8031691656838,67.2832893099296,49.7252671483207,38.3536869139487,51.7000854028183,54.4981644332059,43.436590026749,72.3329633934682,49.0606022012948,30.7669100628914,27.8502740728685,41.4899816545587,68.6009308014873,41.7969724223443,19.9547097186376,48.7473101713863,39.1570831794612,37.7362998553482,88.1752677722081,37.9048161814107,40.6578064098952,74.9578103992527,38.9651390961162,32.1136860573081,45.4233360095381,41.4614076154927,58.2801529222589,47.1085437862308,40.0011131510741,38.0677644543745,58.7400804012978
"Syr_Darya",57.3117817254763,69.0080599624993,79.6058210490997,68.5968966677004,73.0539326073901,63.5542843216649,65.4175784405471,95.045712005489,71.2134451022076,67.1595467362521,65.4856200864884,56.7180306582153,74.5001813810472,81.0601468300428,69.631587137531,72.4265775341793,80.481977675203,101.194579370427,69.3343155554246,65.5611639168176,54.3124728803202,69.5655313768576,78.0752543519081,49.1048121063907,75.8659763418829,71.4934043688489,94.5022094041042,79.3057478942769,75.5976089808162,32.2280086793498,81.6942875740614,65.175080985359,49.4976456817244,52.7673861998454,54.6789016076703,78.8279549358015,75.5020619066568,42.481153620169,100.002717704169,44.154781140626,37.961744576011,52.2395161855209,48.6084093722598,52.108817075741,70.7260382468668,77.9961344174503,87.4411487952879,67.501670597585,65.0669724769302,69.1060784078737,78.6487253563132,51.2672306497098,62.9377261856112,54.0641236222426,80.3808379182519,78.5510161756529,75.9156472941038,53.0237144855554,72.2324928911288,72.2163794183316,58.762274674568,43.28001663532,42.9794986917379,58.6193305202976,62.4948710637977,81.6354746140279,48.5134670784555,51.2590306330472,59.3797248853852,67.244777369626,39.9594382115555,58.4390447411317,71.7144048924022,57.356079711427,56.6743392582196,70.3921493419668,49.5204520014159,74.1689975362444,51.5098824614436,73.0660913477395,52.2257989174292,45.3262142569,42.9786510985138,68.5561109280714,36.6399939340573,54.8615901398527,47.6304523361985,65.3205902093516,55.8949534440761,50.8101234559347,57.3165725342554,75.3307079430347,88.0817781585083,56.9213728516632
"Salween",17.9612824477802,21.2790994999906,12.4541379914765,13.6966807753761,30.634732330324,18.9601585506628,29.5827274355291,11.2994218734959,31.5745221495259,36.1849637427656,19.81574593906,10.8955194462257,24.8639804689619,10.5416331293642,13.018459358529,17.7990830150619,25.0734758324593,14.4217007964362,23.5479705356951,25.8834447849339,17.6682581950756,29.0953921783804,12.4106266736061,19.4442287591773,19.2209239213304,26.0845255038432,21.1846763161479,13.170838403864,17.2919732527369,21.0534982820229,25.9071340248773,14.8412255516823,13.3582878480487,18.0512952912839,25.7134084221939,14.6204952880779,10.5969893366956,21.4620552128787,23.4802668187509,16.146587325227,18.2605140275897,11.6838293449987,19.1269362304725,17.6683471767966,23.419683014455,14.4494459065062,11.5049074133838,19.7015194200964,21.4695145438435,15.8874204018799,15.5543191108484,21.1618107590495,9.65352107664452,9.61032818705321,14.0189564258756,14.1926239253218,5.83130101026569,20.7753747832184,25.4454156507418,27.8120308275757,5.92353508849376,18.2117822207221,19.162082130706,10.3159362019993,21.6409439494665,16.8962083462228,11.0866326177628,12.4184723399611,23.4197631473149,17.5515407900739,18.3613775325917,17.0861380619893,12.2705998979659,5.71293241818161,11.9112875209785,24.4408200157074,14.4673168584908,4.00936110121583,14.8597356990914,15.0840677848173,13.9679810636459,26.6239374270334,14.1563001979097,11.7920499302914,27.097611303407,18.6749092253876,11.3967194693067,14.7626486590168,7.14694587401781,14.0979330230242,17.3132782818427,14.7915819890419,12.6847191624126,16.886694018814
"Tarim",58.7964638006462,73.5096935740418,60.3144034048329,57.6719344980726,84.5382378592652,73.7573585305929,53.8517356868635,62.2693259244747,58.8966560601035,60.9860471163046,55.8101991094219,60.6492670334787,55.1274771313456,64.026069055172,55.3015317004278,53.6429472233232,66.8268338331977,66.6232279398203,62.1109268906858,64.4214366133028,64.8373093361641,73.6158379667455,47.8633333845607,49.6793224120949,72.0489252369899,67.2825944743384,85.0491743122089,62.8225819405492,60.4134944489323,48.48246842655,51.3910583584563,55.5758784178746,53.6716802713385,56.2882286939586,51.5560721572292,56.8827414601394,55.5543327158093,45.0747884037824,69.9378078206741,48.8660809711438,43.2291305005391,60.8375587040774,54.0627008329287,57.4204329586144,61.4586067927529,47.9635000643509,69.1103678513377,73.5150013093281,57.9631187765912,63.1127178293056,53.159094311752,47.9208788125518,64.5372645357927,60.3416141008249,56.8137240920899,64.245630280313,52.8413154451726,48.3957746088892,65.1517331687705,57.4021556962188,51.2915334051533,48.4582310934057,69.2804971185047,48.8357779779705,54.132591407829,68.4026722839392,56.3978484499577,61.671544168348,59.9304422758845,64.7923591976677,54.9358009393709,61.9819835083757,62.0497527284879,42.1133883314888,52.7282843158444,67.283899419503,58.6434506745288,56.548718037453,58.809114911,72.7387068220707,58.1868065364206,50.599288018613,62.6406261907005,59.2975968237738,57.7691758113225,48.8601435510305,50.415885049859,62.9936028601688,52.5083052977803,60.5989657818885,67.3775751615086,55.2623974144569,66.4573537018724,60.4529760504613
